sentiment,text,user
"neutral","@CocaCola_ZA https://t.co/vAwSq9A6Y8","IamQueenKeo"
"neutral","RT @eeb_ove: 🔴Cada vez son más las mujeres que emprenden, pero existe aún brecha de género \nResumen de la Jornada conjunta #GiraMujeres de…","IratxePikaza"
"neutral","@CocaCola_Br Clarooo, inclusive poderia mandar umas né","LeticiaMota23"
"neutral","@zumi_0804 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/DpozZWtM0S https://t.co/yqnavSlSNb","ayatakaJP"
"neutral","@JoshJarnagin @A_S12 @CookOut @CocaCola @sbjsbd Thank you captain obvious","degainfield"
"neutral","@yurinchi0818 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/VoEdseGSLF https://t.co/WE05hHDPFf","ayatakaJP"
"neutral","@Dayrbe_ Burgão e Coquinha sem açúcar, bora?  🤤🍔❤","CocaCola_Br"
"neutral","@Zv85VnYKWEbaLgZ \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/HITnqsMiHN https://t.co/efaHGoUIPA","ayatakaJP"
"neutral","@Strawberry_maro \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/Y3CN2DIYA0 https://t.co/xde9oYJDoY","ayatakaJP"
"neutral","@bruhhcrf Só comida boa! Sabe com o que elas têm em comum? Combinam perfeitamente com uma Coca-Cola sem açúcar bem geladinha! 🥰❤","CocaCola_Br"
"neutral","@FuckMeanGirl Obaaa! 🤘❤","CocaCola_Br"
"neutral","@CocaCola_Br to famoso","psatrembala"
"neutral","@OresamaShingo \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/ofAxon4MXu https://t.co/QfWFGO8KC9","ayatakaJP"
"neutral","Zašto kod nas nema CocaCola life zelena zaslađena steviom?","sandyyy001"
"neutral","@a_7_118 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/2urwEu8rWc https://t.co/Avv6lC9cBw","ayatakaJP"
"neutral","@itani213 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/iZaBFZ1bq1 https://t.co/41rPbJz73G","ayatakaJP"
"neutral","@alohq \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/BtnaWvwx4v https://t.co/CgWZNP2gxr","ayatakaJP"
"neutral","@YUMEUMI27 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/akp3YhZgjd https://t.co/bohTjlE9ZJ","ayatakaJP"
"neutral","@LuSouza_8 E que tal beber essa Coca-Cola sem açúcar a ainda um comer um lanche bem gostoso? Vem conferir essa ofer… https://t.co/DAqCL5SCIE","CocaCola_Br"
"neutral","@CocaCola_Br Só faltou só uma coca, né","oliver28_bea"
"neutral","@_Vanery_ \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/27nSEu3k2x https://t.co/5sBDDB7tIq","ayatakaJP"
"neutral","@thainarah_lanza Falou e disse! 👏 😍","CocaCola_Br"
"neutral","@ikmkm_SII \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/s8EXBADq0Z https://t.co/FjuURP6n9A","ayatakaJP"
"neutral","@CocaCola_Br Comi com uma coquinha, claro ❤","_lau_ras"
"positive","@0509_1103_love \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/QsLggJsWCF https://t.co/vjvpBpeEq2","ayatakaJP"
"neutral","@LeticiaMota23 E essa delícia teve aquela Coquinha sem açúcar bem geladinha pra acompanhar? 🤔","CocaCola_Br"
"neutral","@wiihajon Tá aí uma verdade! E com uma Coquinha acompanhando então, hummmm! 🤤","CocaCola_Br"
"neutral","@CzZrTr9scbZwV7B \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/BZh0vcJboP https://t.co/AYZmt2XDxS","ayatakaJP"
"neutral","RT @A_S12: .@CookOut has renewed its title sponsorship of Darlington's Southern 500 for multiple years, and @CocaCola is going to now co-pr…","LugnutMedia"
"neutral","@TeamPWR @PWRCreate @CocaCola @FortniteGame Wahayyyy! @charevns Were pros ⚡️ https://t.co/qUKScYH4Yd","armpitious"
"neutral","@yuayua__nils \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/N0n8fVRu8u https://t.co/OqDHUeqJNF","ayatakaJP"
"neutral","@teamjao Foi incrível! 🥰 A gente amou e não foi pouco! ❤️ #CoquinhanoLollaBR","CocaCola_Br"
"positive","@OJOTAPEG Calma que a gente te ajuda! Bora focar no lanche da tarde com Coquinha sem açúcar! Vem de super combo👉… https://t.co/qRekPyi7yv","CocaCola_Br"
"neutral","@maisaa_22 Temos a oferta perfeita pra você saciar essa vontade!😜 Confere essas 2 ofertas Bob’s com Coca-Cola sem a… https://t.co/PLfqw6ZykW","CocaCola_Br"
"neutral","@juliaalivia_ Ficamos felizes em saber que você gostou! ❤️","CocaCola_Br"
"neutral","@Japan_PornStar \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/o6LI83Kzot https://t.co/EvLr8CB5TR","ayatakaJP"
"neutral","@mayu30670200 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/VtZmVWEps6 https://t.co/q0WusjzKAo","ayatakaJP"
"neutral","@runrun10212012 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/XjUA7MgTWB https://t.co/c5PtXGpPcx","ayatakaJP"
"neutral","@kf_k6 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/Hy3rwuNxhZ https://t.co/SzUH0V0oa0","ayatakaJP"
"neutral","@felippedsl ❤❤❤","CocaCola_Br"
"neutral","@CocaCola_Br @__marcellac SOCORRO KKKKKK","_guicruz10"
"neutral","@cmr305 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/3ufW9pXkSQ https://t.co/NRVUoXTyzs","ayatakaJP"
"neutral","@mananana31 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/0R2obf1i0T https://t.co/LbjdSwvjG4","ayatakaJP"
"neutral","@srvgabis O patrocínio vamos ficar devendo, Gabi. Mas topa uma oferta pra aproveitar nessa semana que ta só começan… https://t.co/uGTPZS8hYm","CocaCola_Br"
"neutral","@emabruh_ ❤️","CocaCola_Br"
"neutral","@bispo__67 Aquela lasanha deliciosa com queijo bem derretido, 🧀 acompanhado de uma Coca-Cola sem açúcar é de comer sorrindo! 😁","CocaCola_Br"
"neutral","@Matiin777 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/Urztbl1Ibo https://t.co/MD1vs8T9Xg","ayatakaJP"
"neutral","@CocaCola_Br Hmmm Coca, um filezinho de frango bem temperadinho com purê de batata mais saladinha de pepino e tomate 🤤","mafepicchi"
"neutral","@eumajusinha É o que importa, né? 🥰❤","CocaCola_Br"
"neutral","私が欲しい\n  桜ひらく季節を楽しむ一品は…\n  ／\n  LINEポイント2,500pt \n  ＼\n  \n  対象の #綾鷹桜デザインボトル 購入で\n  総計20,000名様にその場で当たる！\n  \n  賞品は全６種\n  くわしく… https://t.co/eF5iJnunGw","nonameneco"
"neutral","@k_ln_l \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/tQ1e87KXiL https://t.co/XwwANNN5hF","ayatakaJP"
"neutral","@CocaCola_Br Patrocina então","glucassantos"
"neutral","RT @ClassTwitch: Ya ha salido @Rubiu5 a dar explicaciones a las acusaciones de que su publicidad va mendigando dinero a la gente... Ya era…","CarlosEduTAC"
"neutral","@rt_rt_010 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/61BPvLbwCl https://t.co/FwILU5Hov6","ayatakaJP"
"neutral","@becauseeyes Dá a mão aqui, vamos reagir juntinho! 🥰 Bora de burgão caprichado e Coquinha geladinha? 🍔 Tem 2 opções… https://t.co/U5vnw16yU3","CocaCola_Br"
"neutral","@fumi_fumi_tei \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/1QazLg4byL https://t.co/5u4u9aoNA5","ayatakaJP"
"neutral","@B1MqOvAqvDkGUOa \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/2iX6uKZ0AU https://t.co/5dpaud8axz","ayatakaJP"
"neutral","@annaa1___ Hum... que delícia! 🤤 E com uma Coquinha sem açúcar acompanhando fica melhor ainda! 😉","CocaCola_Br"
"neutral","@CocaCola_Br Sim sim, tomei.","dudecss3"
"neutral","@JoshAllenQB @pepsi Me, throwing away my @CocaCola products in solidarity. #BillsMafia https://t.co/FoZnMblKql","sharpndpensel"
"neutral","@XxMznNAO \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/0eJKMqh2Zl https://t.co/4ODhhxwlLs","ayatakaJP"
"neutral","@mondnayy Que maravilha! 🤩 Que receitinha você faria pra gente em um jantar de milhões? 🤤😋","CocaCola_Br"
"neutral","@RealBetis Siiiiiiiiiiiii.....ya sabemos que no ficharemos ar Bisho #CristianoRonaldo 🤣🤣🤣🤣 #cocacola","luiguiexterior"
"neutral","@EstudaVei E vai uma Coquinha sem açúcar bem gelada pra curtir aquele pagodinho no fim de semana? 😜❤","CocaCola_Br"
"neutral","@jjmikamin \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/3yRxjEDFbr https://t.co/R50ajZIzfI","ayatakaJP"
"neutral","@lud_schiavinato Alô Crush, vamos resolver isso aí! 😜","CocaCola_Br"
"neutral","@dudecss3 Boa demais com uma Coca-Cola gelada! 😍","CocaCola_Br"
"neutral","@Cbehkn \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/CgCVywW1Qg https://t.co/s9X4dmrrZt","ayatakaJP"
"neutral","@CocaCola_Br @Rianzinho_3 patrocina os cria que é bom nd 😆😅😅🤦🏾‍♂️","filhodoreii_33"
"neutral","@waka0820kuma \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/cnNpSG32mx https://t.co/4sz9bitQ6j","ayatakaJP"
"neutral","@ackey_berry \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/7y8xzttGVK https://t.co/pibuRuuJ19","ayatakaJP"
"neutral","@yk_t_h \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/uXsY0ihT1z https://t.co/ZysEotJ67h","ayatakaJP"
